Respondent_ID,Persona_Label,Is_Outlier,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Occupation,Q5_Monthly_Income,Q6_Shopping_Frequency,Q7_Platforms_Used,Q8_Avg_Order_Spend,Q9_Key_Purchase_Factor,Q10_Returns_Frequency,Q11_Product_Categories,Q12_Colour_Preferences,Q13_Occasions,Q14_Style_Personality,Q15_Ethnic_Wear,Q16_Bundle_Preferences,Q17_Price_Sensitivity,Q18_Social_Platform,Q19_D2C_Purchase_Hist,Q20_Sustainability_Pay,Q21_Ideal_Monthly_Budget,Q21_Budget_Numeric_INR,Q22_Digital_Trust_Score,Q23_Influencer_Purchase,Q24_Market_Gap_Perception,Q25_Purchase_Intent_Raw,Q25_Purchase_Intent_Label
R1105,HousewifeTier2,False,35–44,Female,Tier-1,Homemaker,"₹20,000–₹40,000",Occasionally,Flipkart|Meesho|Brand website|None,"₹500–₹1,000",Price/Discounts|Fabric quality,Often,Tops/Blouses|Dresses|Co-ord sets,Pastels|Dark tones|Earth tones,Office/Work|Casual outings|Festivals,Ethnic-Western Fusion,Yes – regularly,Co-ord set+Accessories,1.0,Instagram,Yes,Haven't thought,"₹2,500–₹5,000",4340.0,3.0,Yes – many times,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R1106,HousewifeTier2,False,45–54,Female,Tier-1,Self-employed,"₹20,000–₹40,000",Rarely,Myntra|Amazon|Flipkart|Meesho,Below ₹500,Price/Discounts|Fabric quality,Never,Tops/Blouses|Dresses|Activewear,Bold/Bright,Office/Work|Casual outings|Travel|Work-from-home,Minimalist,Yes – regularly,Top+Bottom combo,2.0,WhatsApp/Friends,Not aware,Maybe – if quality is great,"₹5,000–₹10,000",6480.0,2.0,Yes – once or twice,Designs not India-appropriate|Limited ethnic-fusion,Somewhat likely,Interested
R1107,ProfessionalWoman,False,25–34,Female,Metro,Salaried – Govt.,Above ₹1.5L,Occasionally,Myntra|Ajio|Amazon,"₹2,500–₹5,000",Brand trust|Fabric quality,Sometimes,Jeans/Denim|Co-ord sets|Jackets/Blazers,Dark tones|Prints & Patterns,Office/Work|Festivals|Gym/Workout|Work-from-home,Classic/Formal,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box,4.0,YouTube,No,Maybe – if quality is great,"₹1,000–₹2,500",,4.0,Yes – once or twice,Poor size range|Low fabric quality,Somewhat likely,Interested
R1108,PremiumShopper,False,35–44,Female,Metro,Salaried – Private,"₹75,000–₹1.5L",Occasionally,Myntra|Ajio|Amazon|Meesho,"₹2,500–₹5,000",Brand trust|Fabric quality,Very often,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear,Neutrals|Dark tones|Earth tones,Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box,4.0,YouTube,No,Definitely yes,,6470.0,5.0,Yes – once or twice,Poor size range|Poor returns/service,Very likely,Interested
R1109,ProfessionalWoman,False,35–44,Female,Tier-2,Salaried – Private,"₹75,000–₹1.5L",Frequently,Myntra|Amazon,Below ₹500,Brand trust|Fabric quality,Never,Dresses|Shorts/Skirts,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Trendy/Street style,No – western only,Top+Bottom combo|Ethnic+western bundle,3.0,Instagram,Yes,Haven't thought,₹0,0.0,2.0,Yes – many times,Designs not India-appropriate,Very likely,Interested
R1110,TrendyUrban,False,35–44,Female,Metro,,"₹75,000–₹1.5L",Never,Myntra|Amazon|Instagram/Social,"Above ₹5,000",Brand trust|Trendy designs,Rarely,T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Pastels|Bold/Bright,Casual outings|Work-from-home,Sporty/Athleisure,No – western only,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,4.0,YouTube,Yes,No – price matters,"₹2,500–₹5,000",4760.0,4.0,,Poor returns/service,Very likely,Interested
R1111,ProfessionalWoman,False,25–34,Female,Tier-1,Salaried – Govt.,"₹75,000–₹1.5L",Occasionally,Instagram/Social,"₹1,000–₹2,500",Brand trust|Fabric quality,Rarely,Jeans/Denim|Tops/Blouses|Dresses|Jackets/Blazers,Neutrals|Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Festivals|Work-from-home,Ethnic-Western Fusion,No – western only,3 basics for ₹999,3.0,Pinterest,No,Maybe – if quality is great,"₹2,500–₹5,000",3650.0,5.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R1112,BudgetStudent,False,18–24,Female,Tier-1,Student,"Below ₹20,000",Frequently,Amazon|Meesho,Below ₹500,Price/Discounts|Trendy designs,Never,T-shirts|Co-ord sets|Shorts/Skirts|Activewear|Ethnic-Western Fusion,Neutrals|Dark tones|Prints & Patterns,Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,Instagram,Not aware,Maybe – if quality is great,₹0,20.0,4.0,Yes – once or twice,Limited ethnic-fusion,Very likely,Interested
R1113,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Private,Above ₹1.5L,Occasionally,Myntra|Ajio|Amazon|Instagram/Social,"₹1,000–₹2,500",Brand trust|Fabric quality,Often,Dresses|Co-ord sets|Activewear,Pastels|Dark tones|Prints & Patterns,Office/Work|Casual outings|Festivals|Gym/Workout|Work-from-home,Trendy/Street style,Yes – regularly,Seasonal wardrobe kit,3.0,Pinterest,No,Definitely yes,"₹2,500–₹5,000",4210.0,4.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Very likely,Interested
R1114,BudgetStudent,False,25–34,Male,Tier-2,Student,"Below ₹20,000",Frequently,Myntra|Amazon,"₹2,500–₹5,000",Fast delivery,Often,Jeans/Denim|Tops/Blouses|Jackets/Blazers,Pastels|Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Work-from-home,Classic/Formal,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Ethnic+western bundle,3.0,Instagram,No,No – price matters,"₹500–₹1,000",830.0,3.0,No – never,,Definitely not,Not Interested
R1115,BudgetStudent,False,18–24,Male,Metro,Self-employed,"₹20,000–₹40,000",Occasionally,Meesho|Brand website,,Trendy designs|Fast delivery,Rarely,T-shirts|Tops/Blouses|Dresses|Co-ord sets|Shorts/Skirts,Pastels|Dark tones|Prints & Patterns,,Ethnic-Western Fusion,No – western only,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,Instagram,Yes,No – price matters,"₹500–₹1,000",780.0,3.0,No – but tempted,Low fabric quality|High prices,Very likely,Interested
R1116,HousewifeTier2,False,45–54,Female,Tier-2,Self-employed,"₹40,000–₹75,000",Rarely,Meesho,"₹500–₹1,000",Price/Discounts|Trendy designs,Rarely,Jeans/Denim|Dresses,Neutrals|Pastels|Bold/Bright,Festivals|Gym/Workout,Minimalist,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|Ethnic+western bundle,2.0,WhatsApp/Friends,Not aware,Definitely yes,"₹1,000–₹2,500",1860.0,1.0,No – never,Poor size range|Low fabric quality,Neutral,Neutral
R1117,TrendyUrban,False,18–24,Female,Metro,Self-employed,"Below ₹20,000",Very frequently,Myntra|Ajio|Brand website,"₹2,500–₹5,000",Trendy designs|Easy returns,Often,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Activewear,Pastels|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Work-from-home,Trendy/Street style,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Seasonal wardrobe kit,4.0,YouTube,Yes,Definitely yes,"₹1,000–₹2,500",2450.0,4.0,No – but tempted,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R1118,HousewifeTier2,False,25–34,Female,Tier-1,Homemaker,Above ₹1.5L,Rarely,Amazon|Flipkart,"₹500–₹1,000",Price/Discounts|Fabric quality,Sometimes,Co-ord sets,Bold/Bright,Festivals,Minimalist,Yes – regularly,Co-ord set+Accessories|Ethnic+western bundle|Seasonal wardrobe kit,2.0,WhatsApp/Friends,Not aware,Maybe – if quality is great,"₹1,000–₹2,500",1730.0,1.0,No – never,Low fabric quality|Designs not India-appropriate,Neutral,Neutral
R1119,ProfessionalWoman,False,35–44,Female,Metro,Freelancer,"₹75,000–₹1.5L",Frequently,Amazon|Brand website|Instagram/Social,"₹1,000–₹2,500",Fabric quality,Sometimes,Jeans/Denim|T-shirts|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Pastels|Dark tones,Office/Work|Travel|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,4.0,None,Not aware,Definitely yes,"₹5,000–₹10,000",7700.0,4.0,Yes – once or twice,Designs not India-appropriate|Poor returns/service,Somewhat likely,Interested
R1120,HousewifeTier2,False,45–54,Prefer not to say,Tier-1,Homemaker,"₹20,000–₹40,000",Never,Amazon|Meesho|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Easy returns,Never,Jeans/Denim|Tops/Blouses|Dresses|Activewear,Bold/Bright|Prints & Patterns|Earth tones,Dates/Parties|Travel|Gym/Workout|Work-from-home,Classic/Formal,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,4.0,Instagram,No,No – price matters,"₹500–₹1,000",930.0,2.0,No – never,Low fabric quality|Limited ethnic-fusion,Unlikely,Not Interested
R1121,HousewifeTier2,False,45–54,Female,Tier-1,Homemaker,"₹40,000–₹75,000",Never,Amazon|Flipkart|Meesho,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Rarely,Activewear|Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,Festivals|Travel|Gym/Workout,Boho/Free-spirited,Yes – occasionally,Ethnic+western bundle,3.0,YouTube,No,No – price matters,"₹500–₹1,000",940.0,2.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Unlikely,Not Interested
R1122,PremiumShopper,True,25–34,Female,Tier-1,Self-employed,Above ₹1.5L,Rarely,Myntra|Ajio|Brand website,"₹1,000–₹2,500",Price/Discounts|Brand trust,Often,Jeans/Denim|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Work-from-home,Trendy/Street style,No – western only,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,1.0,Instagram,Yes,Maybe – if quality is great,"Above ₹10,000",0.0,,No – but tempted,Low fabric quality|Poor returns/service,Very likely,Interested
R1123,HousewifeTier2,False,35–44,Female,Tier-2,Self-employed,"₹20,000–₹40,000",Never,Myntra|Flipkart|Meesho,"₹500–₹1,000",Price/Discounts|Fabric quality,Never,Dresses|Co-ord sets|Jackets/Blazers|Activewear,Neutrals|Dark tones,Casual outings|Dates/Parties|Work-from-home,Classic/Formal,Yes – regularly,3 basics for ₹999|Ethnic+western bundle,2.0,Instagram,No,No – price matters,"₹500–₹1,000",860.0,3.0,No – but tempted,High prices,Neutral,Neutral
R1124,ProfessionalWoman,False,35–44,Female,Tier-1,Freelancer,"₹75,000–₹1.5L",Frequently,Myntra|Ajio|Brand website|Instagram/Social,"₹500–₹1,000",Brand trust|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Co-ord sets|Shorts/Skirts,Neutrals|Dark tones,Casual outings|Dates/Parties|Festivals|Work-from-home,Boho/Free-spirited,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,3.0,None,No,Definitely yes,"₹5,000–₹10,000",6380.0,5.0,Yes – once or twice,Poor size range|Limited ethnic-fusion,Very likely,Interested
R1125,ProfessionalWoman,False,25–34,Female,Metro,Salaried – Govt.,"₹40,000–₹75,000",Frequently,Myntra|Meesho,"₹1,000–₹2,500",Fabric quality|Fast delivery,Sometimes,Dresses|Jackets/Blazers|Activewear,Neutrals|Dark tones|Earth tones,Office/Work|Casual outings|Festivals|Gym/Workout,Boho/Free-spirited,I buy both equally,Seasonal wardrobe kit,1.0,WhatsApp/Friends,Yes,No – price matters,"₹2,500–₹5,000",4620.0,4.0,No – but tempted,Poor size range|Low fabric quality,Very likely,Interested
R1126,BudgetStudent,False,25–34,Female,Tier-1,Student,"Below ₹20,000",Frequently,Myntra|Amazon|Meesho,Below ₹500,Price/Discounts|Fast delivery,Rarely,T-shirts|Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,College/Campus|Casual outings|Dates/Parties,Classic/Formal,Yes – occasionally,Top+Bottom combo,1.0,YouTube,Yes,No – price matters,"₹5,000–₹10,000",6380.0,5.0,Yes – many times,Low fabric quality|High prices,Very likely,Interested
R1127,PremiumShopper,False,25–34,Female,Tier-1,Freelancer,"₹75,000–₹1.5L",Rarely,Myntra|Ajio|Instagram/Social,"Above ₹5,000",Brand trust|Trendy designs,Rarely,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear,Neutrals,Office/Work|Casual outings|Festivals|Gym/Workout|Work-from-home,Minimalist,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,3.0,,Yes,Definitely yes,"Above ₹10,000",12460.0,4.0,No – but tempted,Poor size range|High prices,Somewhat likely,Interested
R1128,HousewifeTier2,False,45–54,Female,Tier-1,Homemaker,"Below ₹20,000",Rarely,Meesho,"₹500–₹1,000",Price/Discounts|Brand trust,Never,Tops/Blouses|Shorts/Skirts|Ethnic-Western Fusion,,Casual outings,Minimalist,Yes – regularly,,1.0,YouTube,,No – price matters,₹0,0.0,4.0,Yes – once or twice,Designs not India-appropriate|Limited ethnic-fusion,Unlikely,Not Interested
R1129,TrendyUrban,False,25–34,Female,Metro,Self-employed,"₹20,000–₹40,000",Frequently,Flipkart|Meesho|Instagram/Social,"₹500–₹1,000",Brand trust|Fabric quality,Never,Jeans/Denim|Tops/Blouses|Jackets/Blazers,Neutrals|Pastels|Bold/Bright,College/Campus|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Minimalist,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Ethnic+western bundle,4.0,Instagram,Yes,Maybe – if quality is great,"₹5,000–₹10,000",7440.0,5.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R1130,BudgetStudent,False,Under 18,Female,Tier-1,Student,"₹40,000–₹75,000",Occasionally,Myntra|Instagram/Social,"₹500–₹1,000",Price/Discounts,Rarely,Jeans/Denim|Tops/Blouses|Co-ord sets|Shorts/Skirts|Activewear,Neutrals|Bold/Bright|Dark tones,College/Campus|Casual outings|Festivals|Travel,Boho/Free-spirited,Yes – occasionally,Curated outfit box,1.0,Instagram,Yes,No – price matters,"₹500–₹1,000",810.0,3.0,No – but tempted,Limited ethnic-fusion|High prices,Neutral,Neutral
R1131,ProfessionalWoman,False,25–34,Female,Tier-1,Salaried – Private,"₹40,000–₹75,000",Frequently,Ajio|Amazon|Brand website|Instagram/Social,"₹1,000–₹2,500",Brand trust|Fabric quality,Rarely,Tops/Blouses|Dresses|Jackets/Blazers|Shorts/Skirts|Activewear,Neutrals|Pastels|Dark tones,Dates/Parties,Classic/Formal,No – western only,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,5.0,None,No,No – price matters,"₹5,000–₹10,000",7810.0,4.0,No – never,Poor size range|Poor returns/service,Somewhat likely,Interested
R1132,TrendyUrban,False,25–34,Male,Metro,Salaried – Private,"₹40,000–₹75,000",Frequently,Myntra|Ajio|Amazon|Flipkart|Meesho|Brand website,Below ₹500,Brand trust|Fabric quality,Never,Jeans/Denim|T-shirts|Dresses|Co-ord sets|Shorts/Skirts,Neutrals|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo|Ethnic+western bundle,4.0,WhatsApp/Friends,Yes,Maybe – if quality is great,"₹2,500–₹5,000",3970.0,5.0,Yes – once or twice,Poor size range|Poor returns/service,Very likely,Interested
R1133,TrendyUrban,True,25–34,Male,Metro,Student,"₹75,000–₹1.5L",,Myntra|Ajio|Brand website|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Easy returns,Sometimes,Jeans/Denim|Tops/Blouses|Co-ord sets|Jackets/Blazers,Bold/Bright|Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Sporty/Athleisure,Yes – regularly,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,5.0,Instagram,Yes,No – price matters,"₹5,000–₹10,000",15000.0,5.0,Yes – once or twice,Poor size range,Very likely,Interested
R1134,BudgetStudent,False,18–24,Female,Tier-2,Salaried – Private,"₹20,000–₹40,000",Occasionally,,"₹500–₹1,000",Price/Discounts|Fabric quality,Rarely,Jeans/Denim|T-shirts|Dresses|Co-ord sets|Shorts/Skirts|Activewear,Bold/Bright|Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,Yes – occasionally,Top+Bottom combo|Ethnic+western bundle|Seasonal wardrobe kit,3.0,YouTube,No,No – price matters,₹0,40.0,3.0,No – never,Poor size range|Low fabric quality,Very likely,Interested
R1135,HousewifeTier2,False,25–34,Female,Tier-3 / Rural,,"Below ₹20,000",,Amazon|Meesho,"₹500–₹1,000",Brand trust,Rarely,Dresses|Activewear,Neutrals|Pastels|Prints & Patterns,Casual outings|Festivals|Travel|Work-from-home,Ethnic-Western Fusion,Yes – regularly,Seasonal wardrobe kit,2.0,WhatsApp/Friends,Yes,No – price matters,"₹1,000–₹2,500",1680.0,1.0,No – never,Low fabric quality|Limited ethnic-fusion,Unlikely,Not Interested
R1136,ProfessionalWoman,False,35–44,Female,Metro,Salaried – Govt.,"₹40,000–₹75,000",Occasionally,Myntra|Meesho|Brand website|Instagram/Social,Below ₹500,Fabric quality|Trendy designs,Rarely,Jeans/Denim|T-shirts|Shorts/Skirts,Neutrals,Office/Work|Dates/Parties|Festivals,Classic/Formal,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,5.0,Instagram,No,Maybe – if quality is great,"₹2,500–₹5,000",4260.0,4.0,No – never,Poor size range|Low fabric quality,Very likely,Interested
R1137,TrendyUrban,False,35–44,Male,Tier-1,Homemaker,"Below ₹20,000",Frequently,Myntra|Instagram/Social,"₹2,500–₹5,000",Price/Discounts|Fabric quality,Often,T-shirts|Co-ord sets|Jackets/Blazers|Activewear,Pastels|Dark tones|Earth tones,Dates/Parties|Travel,Trendy/Street style,I buy both equally,Co-ord set+Accessories|Ethnic+western bundle|Seasonal wardrobe kit,3.0,WhatsApp/Friends,Not aware,No – price matters,"₹1,000–₹2,500",2090.0,4.0,No – but tempted,Designs not India-appropriate|High prices,Neutral,Neutral
R1138,BudgetStudent,False,18–24,Male,Tier-1,,"Below ₹20,000",Occasionally,Ajio|Amazon|Instagram/Social,"₹500–₹1,000",,Sometimes,Tops/Blouses|Dresses,Neutrals|Dark tones|Prints & Patterns,College/Campus|Casual outings|Festivals,Classic/Formal,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,1.0,Instagram,Not aware,No – price matters,"₹500–₹1,000",540.0,2.0,Yes – many times,,Neutral,Neutral
R1139,ProfessionalWoman,False,35–44,Female,Metro,Freelancer,"Below ₹20,000",Very frequently,Myntra|Ajio|Amazon|Flipkart,"₹2,500–₹5,000",Brand trust|Trendy designs,Very often,Jeans/Denim|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Gym/Workout|Work-from-home,Classic/Formal,I buy both equally,Co-ord set+Accessories,5.0,YouTube,Yes,No – price matters,"₹2,500–₹5,000",4070.0,4.0,No – but tempted,Poor size range|Poor returns/service,Very likely,Interested
R1140,BudgetStudent,False,25–34,Female,Tier-2,Salaried – Private,"₹20,000–₹40,000",Occasionally,Myntra|Amazon|Brand website,Below ₹500,Price/Discounts|Trendy designs,Sometimes,Jeans/Denim|Dresses|Jackets/Blazers|Shorts/Skirts|Activewear,Bold/Bright|Dark tones|Prints & Patterns,College/Campus|Dates/Parties|Festivals|Gym/Workout|Work-from-home,Trendy/Street style,No – western only,Top+Bottom combo|Co-ord set+Accessories|Ethnic+western bundle,2.0,YouTube,Yes,,"₹1,000–₹2,500",1950.0,4.0,Yes – many times,Limited ethnic-fusion,Very likely,Interested
R1141,ProfessionalWoman,False,25–34,,Tier-1,Salaried – Private,Above ₹1.5L,Rarely,Myntra|Ajio|Meesho|Brand website,"Above ₹5,000",Brand trust|Fabric quality,Sometimes,Jeans/Denim|Tops/Blouses|Co-ord sets,Pastels|Bold/Bright|Dark tones,Office/Work|Dates/Parties|Travel|Gym/Workout,Trendy/Street style,No – western only,Co-ord set+Accessories|Ethnic+western bundle,4.0,Pinterest,Not aware,Maybe – if quality is great,"₹5,000–₹10,000",7210.0,3.0,Yes – many times,Limited ethnic-fusion|Poor returns/service,Somewhat likely,Interested
R1142,BudgetStudent,False,18–24,Female,Tier-1,Salaried – Govt.,"Below ₹20,000",Occasionally,Flipkart|Meesho,"₹500–₹1,000",Price/Discounts|Brand trust,Often,T-shirts|Tops/Blouses|Dresses,Neutrals|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Festivals,Ethnic-Western Fusion,No – western only,3 basics for ₹999|Curated outfit box,1.0,YouTube,Yes,Maybe – if quality is great,"₹2,500–₹5,000",4480.0,1.0,No – never,Poor size range|Low fabric quality,Very likely,Interested
R1143,TrendyUrban,False,18–24,Male,Metro,Salaried – Private,,Frequently,Myntra|Instagram/Social,"₹500–₹1,000",Price/Discounts|Brand trust,Rarely,Dresses|Shorts/Skirts,Neutrals|Bold/Bright,College/Campus|Office/Work|Casual outings|Dates/Parties|Travel,Classic/Formal,I buy both equally,,3.0,Instagram,Yes,No – price matters,"₹1,000–₹2,500",1710.0,4.0,Yes – once or twice,Limited ethnic-fusion|Poor returns/service,Somewhat likely,Interested
R1144,TrendyUrban,False,35–44,Male,Metro,Salaried – Private,"₹40,000–₹75,000",Occasionally,Myntra|Ajio|Instagram/Social,"₹2,500–₹5,000",Brand trust|Trendy designs,Rarely,Jeans/Denim|Dresses|Co-ord sets|Shorts/Skirts,Bold/Bright|Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Travel,Trendy/Street style,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,2.0,Instagram,Yes,Haven't thought,"₹1,000–₹2,500",1790.0,2.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R1145,TrendyUrban,False,25–34,Male,Metro,Freelancer,"₹20,000–₹40,000",Frequently,Myntra|Instagram/Social,"₹1,000–₹2,500",Fabric quality,Often,Jeans/Denim|Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel,Trendy/Street style,No – western only,Top+Bottom combo|Curated outfit box,3.0,Instagram,Yes,Definitely yes,"Above ₹10,000",11740.0,4.0,No – but tempted,Limited ethnic-fusion|Poor returns/service,Somewhat likely,Interested
R1146,ProfessionalWoman,False,35–44,Female,Metro,Self-employed,"₹40,000–₹75,000",Occasionally,Ajio,"₹2,500–₹5,000",Price/Discounts|Brand trust,Sometimes,Tops/Blouses|Co-ord sets|Jackets/Blazers,Neutrals|Bold/Bright|Dark tones,College/Campus|Office/Work|Casual outings|Festivals|Travel,Sporty/Athleisure,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle,5.0,Instagram,Not aware,No – price matters,"₹5,000–₹10,000",7520.0,4.0,No – but tempted,Poor size range|High prices,Somewhat likely,Interested
R1147,HousewifeTier2,False,45–54,Male,Tier-3 / Rural,Homemaker,"₹40,000–₹75,000",Rarely,Myntra|Amazon|Meesho,"₹500–₹1,000",Price/Discounts,Rarely,Tops/Blouses|Co-ord sets,Pastels|Bold/Bright|Dark tones,Office/Work|Festivals,Boho/Free-spirited,No – western only,Seasonal wardrobe kit,2.0,WhatsApp/Friends,Not aware,No – price matters,₹0,0.0,1.0,No – but tempted,Designs not India-appropriate|Limited ethnic-fusion,Somewhat likely,Interested
R1148,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Private,Above ₹1.5L,Frequently,Myntra|Ajio|Amazon|Flipkart|Meesho|Brand website|Instagram/Social,"₹2,500–₹5,000",Brand trust|Easy returns,Never,T-shirts|Co-ord sets|Jackets/Blazers,Neutrals|Dark tones,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Minimalist,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,4.0,YouTube,Yes,No – price matters,"₹5,000–₹10,000",6090.0,3.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R1149,BudgetStudent,False,25–34,Male,Tier-1,Salaried – Private,"Below ₹20,000",Frequently,Myntra|Amazon|Flipkart,"₹1,000–₹2,500",Price/Discounts|Trendy designs,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Activewear,Neutrals|Pastels,College/Campus|Casual outings|Dates/Parties|Gym/Workout|Work-from-home,Minimalist,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,2.0,Instagram,No,No – price matters,,4600.0,4.0,No – never,Low fabric quality|Limited ethnic-fusion,Neutral,Neutral
R1150,BudgetStudent,False,Under 18,Male,Tier-1,Student,"Below ₹20,000",Occasionally,Myntra|Meesho|Brand website,"₹500–₹1,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|T-shirts|Activewear,Pastels|Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Sporty/Athleisure,I buy both equally,Top+Bottom combo|3 basics for ₹999,3.0,Instagram,Yes,No – price matters,"₹500–₹1,000",610.0,5.0,No – but tempted,Poor size range,Somewhat likely,Interested
R1151,BudgetStudent,False,25–34,Female,,Salaried – Private,"Below ₹20,000",Rarely,Myntra|Meesho|Instagram/Social,"₹500–₹1,000",Brand trust|Trendy designs,Sometimes,T-shirts|Shorts/Skirts,Neutrals|Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Festivals|Travel,Classic/Formal,,Top+Bottom combo|3 basics for ₹999|Ethnic+western bundle,1.0,YouTube,Not aware,Maybe – if quality is great,"₹500–₹1,000",580.0,2.0,No – but tempted,Low fabric quality|Poor returns/service,Somewhat likely,Interested
R1152,ProfessionalWoman,False,35–44,Female,Tier-2,Self-employed,"₹75,000–₹1.5L",Frequently,Myntra|Ajio|Amazon|Meesho|Instagram/Social,"₹2,500–₹5,000",Brand trust|Fabric quality,Rarely,Tops/Blouses|Activewear,Dark tones|Prints & Patterns|Earth tones,Office/Work|Festivals|Travel,Minimalist,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999,5.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",2610.0,4.0,Yes – once or twice,Poor size range|Limited ethnic-fusion,Neutral,Neutral
